7,10,80,17,A
7,11,81,18,A
7,12,82,19,A
7,13,83,20,A
7,14,84,21,A
7,15,85,22,A
7,16,86,23,A
8,1,81,9,A
8,2,82,10,A
8,3,83,11,A
8,4,84,12,A
8,5,85,13,A
8,6,86,14,A
8,7,87,15,A
8,8,88,16,A
8,9,89,17,A
8,10,90,18,A
8,11,91,19,A
8,12,92,20,A
8,13,93,21,A
8,14,94,22,A
8,15,95,23,A
8,16,96,24,A
9,1,91,10,A
9,2,92,11,A
9,3,93,12,A
9,4,94,13,A
9,5,95,14,A
9,6,96,15,A
9,7,97,16,A
9,8,98,17,A
9,9,99,18,A
9,10,100,19,A
9,11,101,20,A
9,12,102,21,A
9,13,103,22,A
9,14,104,23,A
9,15,105,24,A
9,16,106,25,A
10,1,101,11,A
10,2,102,12,A
10,3,103,13,A
10,4,104,14,A
10,5,105,15,A
10,6,106,16,A
10,7,107,17,A
10,8,108,18,A
10,9,109,19,A
10,10,110,20,A
10,11,111,21,A
10,12,112,22,A
10,13,113,23,A
10,14,114,24,A
10,15,115,25,A
10,16,116,26,A
11,1,111,12,A
11,2,112,13,A
11,3,113,14,A
11,4,114,15,A
11,5,115,16,A
11,6,116,17,A
11,7,117,18,A
11,8,118,19,A
11,9,119,20,A
11,10,120,21,A
11,11,121,22,A
11,12,122,23,A
11,13,123,24,A
11,14,124,25,A
11,15,125,26,A
11,16,126,27,A
12,1,121,13,A
12,2,122,14,A
12,3,123,15,A
12,4,124,16,A
12,5,125,17,A
12,6,126,18,A
12,7,127,19,A
12,8,128,20,A
12,9,129,21,A
12,10,130,22,A
12,11,131,23,A
12,12,132,24,A
12,13,133,25,A
12,14,134,26,A
12,15,135,27,A
12,16,136,28,A
13,1,131,14,A
13,2,132,15,A
13,3,133,16,A
13,4,134,17,A
13,5,135,18,A
13,6,136,19,A
13,7,137,20,A
13,8,138,21,A
13,9,139,22,A
13,10,140,23,A
13,11,141,24,A
13,12,142,25,A
13,13,143,26,A
13,14,144,27,A
13,15,145,28,A
13,16,146,29,A
14,1,141,15,A
14,2,142,16,A
14,3,143,17,A
14,4,144,18,A
14,5,145,19,A
14,6,146,20,A
14,7,147,21,A
14,8,148,22,A
14,9,149,23,A
14,10,150,24,A
14,11,151,25,A
14,12,152,26,A
14,13,153,27,A
14,14,154,28,A
14,15,155,29,A
14,16,156,30,A
15,1,151,16,A
15,2,152,17,A
15,3,153,18,A
15,4,154,19,A
15,5,155,20,A
15,6,156,21,A
15,7,157,22,A
15,8,158,23,A
15,9,159,24,A
15,10,160,25,A
15,11,161,26,A
15,12,162,27,A
15,13,163,28,A
15,14,164,29,A
15,15,165,30,A
15,16,166,31,A
16,1,161,17,A
16,2,162,18,A
16,3,163,19,A
16,4,164,20,A
16,5,165,21,A
16,6,166,22,A
16,7,167,23,A
16,8,168,24,A
16,9,169,25,A
16,10,170,26,A
16,11,171,27,A
16,12,172,28,A
16,13,173,29,A
16,14,174,30,A
16,15,175,31,A
16,16,176,32,A
17,1,171,18,A
17,2,172,19,A
17,3,173,20,A
17,4,174,21,A
17,5,175,22,A
17,6,176,23,A
17,7,177,24,A
17,8,178,25,A
17,9,179,26,A
17,10,180,27,A
17,11,181,28,A
17,12,182,29,A
17,13,183,30,A
17,14,184,31,A
17,15,185,32,A
17,16,186,33,A
18,1,181,19,A
18,2,182,20,A
18,3,183,21,A
18,4,184,22,A
18,5,185,23,A
18,6,186,24,A
18,7,187,25,A
18,8,188,26,A
18,9,189,27,A
18,10,190,28,A
18,11,191,29,A
18,12,192,30,A
18,13,193,31,A
18,14,194,32,A
18,15,195,33,A
18,16,196,34,A
19,1,191,20,A
19,2,192,21,A
19,3,193,22,A
19,4,194,23,A
19,5,195,24,A
19,6,196,25,A
19,7,197,26,A
19,8,198,27,A
19,9,199,28,A
19,10,200,29,A
19,11,201,30,A
19,12,202,31,A
19,13,203,32,A
19,14,204,33,A
19,15,205,34,A
19,16,206,35,A
20,1,201,21,A
20,2,202,22,A
20,3,203,23,A
20,4,204,24,A
20,5,205,25,A
20,6,206,26,A
20,7,207,27,A
20,8,208,28,A
20,9,209,29,A
20,10,210,30,A
20,11,211,31,A
20,12,212,32,A
20,13,213,33,A
20,14,214,34,A
20,15,215,35,A
20,16,216,36,A
